sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,0.2,Azalea
4.9,3,1.4,0.2,Azalea
4.7,3.2,1.3,0.2,Azalea
4.6,3.1,1.5,0.2,Azalea
5,3.6,1.4,0.2,Azalea
5.4,3.9,1.7,0.4,Azalea
4.6,3.4,1.4,0.3,Azalea
5,3.4,1.5,0.2,Azalea
4.4,2.9,1.4,0.2,Azalea
4.9,3.1,1.5,0.1,Setosa
5.4,3.7,1.5,0.2,Setosa
4.8,3.4,1.6,0.2,Setosa
4.8,3,1.4,0.1,Setosa
4.3,3,1.1,0.1,Setosa
5.8,4,1.2,0.2,Setosa
5.7,4.4,1.5,0.4,Setosa
5.4,3.9,1.3,0.4,Setosa
5.1,3.5,1.4,0.3,Setosa
5.7,3.8,1.7,0.3,Lily
5.1,3.8,1.5,0.3,Lily
5.4,3.4,1.7,0.2,Lily
5.1,3.7,1.5,0.4,Lily
4.6,3.6,1,0.2,Lily
5.1,3.3,1.7,0.5,Lily
4.8,3.4,1.9,0.2,Lily
5,3,1.6,0.2,Lily
5,3.4,1.6,0.4,Lily
5.2,3.5,1.5,0.2,Lily
5.2,3.4,1.4,0.2,Lily
4.7,3.2,1.6,0.2,Setosa
4.8,3.1,1.6,0.2,Setosa
5.4,3.4,1.5,0.4,Setosa
5.2,4.1,1.5,0.1,Setosa
5.5,4.2,1.4,0.2,Setosa
4.9,3.1,1.5,0.2,Setosa
5,3.2,1.2,0.2,Setosa
5.5,3.5,1.3,0.2,Setosa
4.9,3.6,1.4,0.1,Peony
4.4,3,1.3,0.2,Peony
5.1,3.4,1.5,0.2,Peony
5,3.5,1.3,0.3,Peony
4.5,2.3,1.3,0.3,Peony
4.4,3.2,1.3,0.2,Peony
5,3.5,1.6,0.6,Peony
5.1,3.8,1.9,0.4,Peony
4.8,3,1.4,0.3,Peony
5.1,3.8,1.6,0.2,Peony
4.6,3.2,1.4,0.2,Peony
5.3,3.7,1.5,0.2,Peony
5,3.3,1.4,0.2,Peony
7,3.2,4.7,1.4,Versicolor
6.4,3.2,4.5,1.5,Versicolor
6.9,3.1,4.9,1.5,Versicolor
5.5,2.3,4,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,3.3,4.7,1.6,Versicolor
4.9,2.4,3.3,1,Versicolor
6.6,2.9,4.6,1.3,Versicolor
5.2,2.7,3.9,1.4,Tulip
5,2,3.5,1,Tulip
5.9,3,4.2,1.5,Tulip
6,2.2,4,1,Tulip
6.1,2.9,4.7,1.4,Tulip
5.6,2.9,3.6,1.3,Tulip
6.7,3.1,4.4,1.4,Tulip
5.6,3,4.5,1.5,Tulip
5.8,2.7,4.1,1,Tulip
6.2,2.2,4.5,1.5,Tulip
5.6,2.5,3.9,1.1,Tulip
5.9,3.2,4.8,1.8,Versicolor
6.1,2.8,4,1.3,Versicolor
6.3,2.5,4.9,1.5,Versicolor
6.1,2.8,4.7,1.2,Versicolor
